,amazon_tweets
70,Here's the email we sent them. Their so called Supervisor Gokul was also a sarcastic piece of shit. Doesn't deserve… https://t.co/cOX8G2zthE
71,"High quality camer and Snapdragon 750g 🔥🔥🔥 and high 5000mah battery  just rocking
#FastestMonster, @amazonIN… https://t.co/PLuRPTrG5r"
72,Here's another joke from #Amazon. Instead of delivering the package the only thing they delivered was an SMS and em… https://t.co/YLGxdCpTya
73,Don’t order in Amazon fake delivery service fake customer service worst service @AmazonHelp @ AmazonIn
74,"How Amazon is messing with consumer rights hiding behind its policies. (Once you added money in amazon pay wallet,… https://t.co/sVRoGFKpuD"
75,"Got my pre-order of the #book #karma 
@SadhguruJV bless me to go through the actual experience and learning from th… https://t.co/KVlBAp6tSz"
76,"Linkedin has compiled a list of the top 25 best places to work in India to grow your career.

Among them, major nam… https://t.co/632xrOHZPA"
77,"Dear @KotakBankLtd whenever I'm trying to send money via UPI in @amazonIN app, I'm getting the below error. In othe… https://t.co/hlyk54dVsw"
78,"I can order a ceiling fan. 
I can order a fridge. 

But I cannot order an AC.

What defines an essential item @amazonIN ?"
79,Rs. 545 @PypAyurved  Coronil kit is being sold at around 4 times higher price at Rs. 2095 on @amazonIN Amazon India… https://t.co/QF2lNZpiOj
80,"Hi @amazonIN you can call yourself the biggest e-commerce website in the world, but even after browsing for hours, I can't find what i need."
81,In this national emergency @flipkartsupport @amazonIN @myntra can u guys donate some masks in rural areas of West Bengal?
82,"What we need is @GoogleIndia to develop site for vaccine registration without any glitches.
@amazonIN to distribute… https://t.co/DGnGrvUfr1"
83,"As #IndiaFightsCorona, safety of our employees, partners and their families continue to be our top priority. 

Lear… https://t.co/hCcHUwKYsA"
84,Very sorry to say that today I have lost my trust on Amazon as I have ordered one mobile and the way ur delivery pe… https://t.co/5YUX9ogyj6
85,"This is the first time iam participanting in such a event , do i stand a chance ?🙂

#FastestMonster

@amazonIN… https://t.co/3aEwXcOSLp"
86,".@SamsungIndia  #GalaxyM42 5G has been launched at an effective price of INR 19,999 with sales starting from May 1… https://t.co/WxolN1yzDI"
87,New update for @amazonIN @AmazonHelp @ShieldVoC  this is the whole situation that what is actually going on. Amazon… https://t.co/EeUmh42g31
88,"Wow the monster is 5G ready with the blazing fast Snapdragon Processor 750G 5G that speeds up downloads, streaming… https://t.co/cpj1x1tnBx"
89,"#FastestMonster @amazonIN @SamsungIndia #SamsungM42 

Looking for this mobile 😍😍 but little bit money problem 😕 https://t.co/ybMaxC5KM3"
